chap_no,inner_no,answer
1,2,불러드릴게요
1,2,네 맞아요
1,2,네 부탁드릴게요
1,2,제품에 문제가 있는데 반품이 가능할까요?
1,2,여기요
1,2,제품의 유통기한이 이미 지나있어요
1,2,3일 전이요
1,2,디자인이 마음에 안들어서요
1,2,제품에 문제가 있는데 교환이나 환불이 가능할까요?
1,2,개봉은 했는데 전원은 안 켰어요
2,2,네 메뉴판 좀 가져다주세요
2,2,주문할게요
2,2,삼겹살 3인분이랑 김치찌개 1개 주세요
2,2,네 맞아요
2,2,음식에 문제가 있는데 바꿔주시겠어요?
2,2,제가 주문한 음식이랑 다른 음식이 나왔어요
2,2,창가 자리로 부탁해요
2,2,아니요 4명 자리있나요?
2,2,네 빨리 바꿔주세요
2,2,매니저나 사장 나오라고 해요
3,2,도와주세요. 가방을 잃어버렸어요.
3,2,방금전 버스에 두고 내렸어요.
3,2,"네, 지갑과 휴대폰이 들어 있어요."
3,2,"꼭, 찾아주세요."
4,2,환자가 있습니다!
4,2,광주광역시 북구 첨단과기로 339 2층입니다.
4,2,의식은 없지만 숨은 쉬고 있어요.
4,2,머리를 붙잡고 쓰러졌어요.
4,2,"제 이름은 ●●●이고, 전화번호는 ○○○○-○○○○입니다."
4,2,"30대이고, 지병은 모르겠어요."
5,2," 거리가 짧은데, 만원이나 나온건 말이 안되지 않나요? "
5,2,"예민하다니요. 지난 번에는, 4000원 밖에 안나왔는데 오늘은 만원이나 나왔어요."
5,2,기사님. 평소보다 요금이 너무 많이나왔어요. 어떻게 된거죠 ?
5,2,기사님. 시청으로 가주세요.
6,2,됐습니다. 끊겠습니다.
6,2,개인정보를 요구하는거보니 보이스피싱이군요. 당장 끊어주세요. 듣기 싫습니다.
6,2,개인정보라니요? 어떤 정보를 말씀하시는거죠?
6,2,아 정말인가요? 저는 외국인인데 대출 받을 수 있나요?
